1027904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3159253,0,11,18,113,78,43,58,17,9,14,97,64,16,0,0,0,0,0
950828,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4458243,13,24,35,2,3,1,2,0,0,0,0,1,0,16,14,19,18,12
4345229,0,2,3,0,0,0,2,0,0,0,0,3,0,0,0,1,4,3
3054729,24,2,1,0,0,0,0,0,0,0,0,0,0,14,17,14,3,3
650924,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4479239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4470360,0,1,1,7,4,3,8,0,0,1,7,0,1,4,0,1,2,2
4453795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4326077,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0
2630939,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3271460,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4339096,0,0,0,0,0,2,2,0,3,1,0,0,1,0,0,0,0,0
2687525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4396197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
813020,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
2600252,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
2175243,0,0,1,0,0,0,0,1,2,1,0,1,2,0,1,1,2,0
4055079,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4353189,1,3,2,3,3,8,11,15,6,7,4,1,19,4,0,0,3,2
4454539,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0
4450673,0,0,0,1,3,1,3,3,0,2,3,2,1,0,0,0,0,0
4370483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2949810,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3553018,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0
4334258,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3536010,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
4423112,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4342133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
4399632,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4388198,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
2778627,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4414556,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,12
138602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4415577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4362685,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
254296,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
2397963,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1096660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3797322,4,1,5,0,2,0,0,0,0,0,0,1,0,5,7,8,6,1
4395245,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1137803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
236814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
4415681,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
4398699,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2719297,0,0,0,6,1,8,6,4,8,9,4,3,3,0,0,0,1,0
