1200.GN01P.o,1200.GN04P,1200.GN04P.o,1200.GN05P,1200.GN06P.o,1200.GN07P,1200.GN07P.o,1200.GN08P,1200.GN09P,1200.GN09P.o,1200.GN05P.o,1200.GN06P,1200.GN08P.o,1200.GN02P,1200.GN01P,1200.GN02P.o,1200.GN03P,1200.GN03P.o
0,0.70733537704382,0.718001838617164,0.769310170862772,0.750979176833992,0.780497779246287,0.763179110020135,0.802415342511405,0.806362790697483,0.812914923705567,0.77048947127431,0.749636502350073,0.801283340630353,0.60129765482635,0.481986121686907,0.613113790636097,0.669699617747688,0.708986181186152
0.70733537704382,0,0.408988375642106,0.558914669365639,0.546085795955642,0.573492985824722,0.566903149886331,0.630549516011653,0.653167091107825,0.673480420861086,0.541062258701063,0.531978967972398,0.643798833093908,0.578664326363865,0.726488289260414,0.622432239826319,0.498189314158233,0.485584852939646
0.718001838617164,0.408988375642106,0,0.568704654130868,0.5073478450106,0.582383366941144,0.561482412934434,0.628652243195851,0.65801020114491,0.681694358089346,0.515669621829086,0.514966666427838,0.639012176235574,0.589638812860065,0.724260577913149,0.624800773929208,0.496173814000256,0.50156545932887
0.769310170862772,0.558914669365639,0.568704654130868,0,0.457400459290919,0.519471308138941,0.502022137387126,0.563669972507976,0.624992692403195,0.614507654666875,0.441324262659667,0.493313397927733,0.538748873375659,0.668614853898692,0.786118584986575,0.686695563552675,0.607049169387032,0.63114146356695
0.750979176833992,0.546085795955642,0.5073478450106,0.457400459290919,0,0.477648394570624,0.468694052096213,0.526856587606661,0.615668870570984,0.600913492496011,0.425624703292255,0.380430633564097,0.549318587526741,0.680504882240103,0.762785801229092,0.69243025210093,0.60381836499663,0.611575089887819
0.780497779246287,0.573492985824722,0.582383366941144,0.519471308138941,0.477648394570624,0,0.445060234847239,0.447608890376854,0.537907016497805,0.541056618869997,0.524168039883076,0.519608784030304,0.50200848229354,0.702071050871424,0.79010570857191,0.704352866429134,0.633125791279637,0.661317433016755
0.763179110020135,0.566903149886331,0.561482412934434,0.502022137387126,0.468694052096213,0.445060234847239,0,0.504942255560057,0.543646393326265,0.546864213982608,0.468010295474884,0.508200453129089,0.493101291088216,0.68764339631184,0.783135962538231,0.706293608473162,0.61068323413823,0.653981029253857
0.802415342511405,0.630549516011653,0.628652243195851,0.563669972507976,0.526856587606661,0.447608890376854,0.504942255560057,0,0.518536030276615,0.54094346225472,0.530080018171411,0.568889667974439,0.449837505840727,0.737995926615148,0.818456255902529,0.755166538120555,0.687263384747226,0.698121556113021
0.806362790697483,0.653167091107825,0.65801020114491,0.624992692403195,0.615668870570984,0.537907016497805,0.543646393326265,0.518536030276615,0,0.430009932980644,0.59673513836073,0.621435123606149,0.48943807718636,0.757516042529221,0.829746656919208,0.7780449050114,0.698727980654984,0.72421063417137
0.812914923705567,0.673480420861086,0.681694358089346,0.614507654666875,0.600913492496011,0.541056618869997,0.546864213982608,0.54094346225472,0.430009932980644,0,0.58834607024102,0.593535102693469,0.521902722272826,0.771137983406467,0.827628727773132,0.784745001109498,0.719453849218056,0.739136017261399
0.77048947127431,0.541062258701063,0.515669621829086,0.441324262659667,0.425624703292255,0.524168039883076,0.468010295474884,0.530080018171411,0.59673513836073,0.58834607024102,0,0.475388319823532,0.541189748010518,0.678887527112539,0.783276479078312,0.682786255765808,0.605911225328828,0.622696297073606
0.749636502350073,0.531978967972398,0.514966666427838,0.493313397927733,0.380430633564097,0.519608784030304,0.508200453129089,0.568889667974439,0.621435123606149,0.593535102693469,0.475388319823532,0,0.569392722620799,0.685356375835011,0.762995823908231,0.708699352443991,0.612346189824842,0.626122602925816
0.801283340630353,0.643798833093908,0.639012176235574,0.538748873375659,0.549318587526741,0.50200848229354,0.493101291088216,0.449837505840727,0.48943807718636,0.521902722272826,0.541189748010518,0.569392722620799,0,0.738581961539642,0.82046797915429,0.758557209694453,0.690818742637068,0.707532215691184
0.60129765482635,0.578664326363865,0.589638812860065,0.668614853898692,0.680504882240103,0.702071050871424,0.68764339631184,0.737995926615148,0.757516042529221,0.771137983406467,0.678887527112539,0.685356375835011,0.738581961539642,0,0.595528692293507,0.441354087909555,0.504187645276826,0.515017194684024
0.481986121686907,0.726488289260414,0.724260577913149,0.786118584986575,0.762785801229092,0.79010570857191,0.783135962538231,0.818456255902529,0.829746656919208,0.827628727773132,0.783276479078312,0.762995823908231,0.82046797915429,0.595528692293507,0,0.608380870411528,0.663338901966694,0.692086683899141
0.613113790636097,0.622432239826319,0.624800773929208,0.686695563552675,0.69243025210093,0.704352866429134,0.706293608473162,0.755166538120555,0.7780449050114,0.784745001109498,0.682786255765808,0.708699352443991,0.758557209694453,0.441354087909555,0.608380870411528,0,0.50922718592786,0.521465267904132
0.669699617747688,0.498189314158233,0.496173814000256,0.607049169387032,0.60381836499663,0.633125791279637,0.61068323413823,0.687263384747226,0.698727980654984,0.719453849218056,0.605911225328828,0.612346189824842,0.690818742637068,0.504187645276826,0.663338901966694,0.50922718592786,0,0.438151476254668
0.708986181186152,0.485584852939646,0.50156545932887,0.63114146356695,0.611575089887819,0.661317433016755,0.653981029253857,0.698121556113021,0.72421063417137,0.739136017261399,0.622696297073606,0.626122602925816,0.707532215691184,0.515017194684024,0.692086683899141,0.521465267904132,0.438151476254668,0
